Team,Rank,P,M,W,D,L,G,GA,GD
Arsenal,1,31,12,10,1,1,30,11,19
Manchester City,2,29,12,9,2,1,37,11,26
Tottenham Hotspur,3,26,13,8,2,3,26,16,10
Newcastle United,4,24,13,6,6,1,24,10,14
Manchester United,5,23,12,7,2,3,17,16,1
Chelsea,6,21,12,6,3,3,17,15,2
Fulham,7,19,13,5,4,4,22,22,0
Brighton & Hove Albion,8,18,12,5,3,4,19,15,4
Liverpool,9,16,12,4,4,4,23,15,8
Crystal Palace,10,16,12,4,4,4,13,16,-3
Brentford,11,15,13,3,6,4,19,22,-3
Everton,12,14,13,3,5,5,11,12,-1
West Ham United,13,14,13,4,2,7,11,13,-2
AFC Bournemouth,14,13,13,3,4,6,12,28,-16
Leeds United,15,12,12,3,3,6,15,19,-4
Aston Villa,16,12,13,3,3,7,11,20,-9
Southampton,17,12,13,3,3,7,11,20,-9
Leicester City,18,11,13,3,2,8,21,25,-4
Wolverhampton,19,10,13,2,4,7,6,19,-13
Nottingham Forest,20,9,13,2,3,8,8,28,-20
